2026-03-22 14:07:38 status half-installed diffutils:amd64 1:3.8-0ubuntu2
2026-03-22 14:07:38 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2026-03-22 14:07:38 upgrade dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2026-03-22 14:07:38 status half-configured dpkg:amd64 1.21.1ubuntu2
2026-03-22 14:07:38 status unpacked dpkg:amd64 1.21.1ubuntu2
2026-03-22 14:07:38 status half-installed dpkg:amd64 1.21.1ubuntu2
2026-03-22 14:07:38 status unpacked dpkg:amd64 1.21.1ubuntu2
2026-03-22 14:07:38 install e2fsprogs:amd64 <none> 1.46.5-2ubuntu1
2026-03-22 14:07:38 status half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:38 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:38 install findutils:amd64 <none> 4.8.0-1ubuntu3
2026-03-22 14:07:38 status half-installed findutils:amd64 4.8.0-1ubuntu3
2026-03-22 14:07:38 status unpacked findutils:amd64 4.8.0-1ubuntu3
2026-03-22 14:07:38 install gcc-12-base:amd64 <none> 12-20220319-1ubuntu1
2026-03-22 14:07:38 status half-installed gcc-12-base:amd64 12-20220319-1ubuntu1
2026-03-22 14:07:38 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2026-03-22 14:07:38 install grep:amd64 <none> 3.7-1build1
2026-03-22 14:07:38 status half-installed grep:amd64 3.7-1build1
2026-03-22 14:07:38 status unpacked grep:amd64 3.7-1build1
2026-03-22 14:07:38 install gzip:amd64 <none> 1.10-4ubuntu4
2026-03-22 14:07:38 status half-installed gzip:amd64 1.10-4ubuntu4
2026-03-22 14:07:38 status unpacked gzip:amd64 1.10-4ubuntu4
2026-03-22 14:07:38 install hostname:amd64 <none> 3.23ubuntu2
2026-03-22 14:07:38 status half-installed hostname:amd64 3.23ubuntu2
2026-03-22 14:07:38 status unpacked hostname:amd64 3.23ubuntu2
2026-03-22 14:07:38 install init-system-helpers:all <none> 1.62
2026-03-22 14:07:38 status half-installed init-system-helpers:all 1.62
2026-03-22 14:07:38 status unpacked init-system-helpers:all 1.62
2026-03-22 14:07:38 install libacl1:amd64 <none> 2.3.1-1
2026-03-22 14:07:38 status half-installed libacl1:amd64 2.3.1-1
2026-03-22 14:07:38 status unpacked libacl1:amd64 2.3.1-1
2026-03-22 14:07:38 install libattr1:amd64 <none> 1:2.5.1-1build1
2026-03-22 14:07:38 status half-installed libattr1:amd64 1:2.5.1-1build1
2026-03-22 14:07:38 status unpacked libattr1:amd64 1:2.5.1-1build1
2026-03-22 14:07:38 install libaudit-common:all <none> 1:3.0.7-1build1
2026-03-22 14:07:38 status half-installed libaudit-common:all 1:3.0.7-1build1
2026-03-22 14:07:38 status unpacked libaudit-common:all 1:3.0.7-1build1
2026-03-22 14:07:38 install libaudit1:amd64 <none> 1:3.0.7-1build1
2026-03-22 14:07:38 status half-installed libaudit1:amd64 1:3.0.7-1build1
2026-03-22 14:07:38 status unpacked libaudit1:amd64 1:3.0.7-1build1
2026-03-22 14:07:38 install libblkid1:amd64 <none> 2.37.2-4ubuntu3
2026-03-22 14:07:38 status half-installed libblkid1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:38 status unpacked libblkid1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:38 install libbz2-1.0:amd64 <none> 1.0.8-5build1
2026-03-22 14:07:38 status half-installed libbz2-1.0:amd64 1.0.8-5build1
2026-03-22 14:07:38 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2026-03-22 14:07:38 install libc-bin:amd64 <none> 2.35-0ubuntu3
2026-03-22 14:07:38 status half-installed libc-bin:amd64 2.35-0ubuntu3
2026-03-22 14:07:38 status unpacked libc-bin:amd64 2.35-0ubuntu3
2026-03-22 14:07:38 upgrade libc6:amd64 2.35-0ubuntu3 2.35-0ubuntu3
2026-03-22 14:07:38 status half-configured libc6:amd64 2.35-0ubuntu3
2026-03-22 14:07:38 status unpacked libc6:amd64 2.35-0ubuntu3
2026-03-22 14:07:38 status half-installed libc6:amd64 2.35-0ubuntu3
2026-03-22 14:07:39 status unpacked libc6:amd64 2.35-0ubuntu3
2026-03-22 14:07:39 install libcap-ng0:amd64 <none> 0.7.9-2.2build3
2026-03-22 14:07:39 status half-installed libcap-ng0:amd64 0.7.9-2.2build3
2026-03-22 14:07:39 status unpacked libcap-ng0:amd64 0.7.9-2.2build3
2026-03-22 14:07:39 install libcap2:amd64 <none> 1:2.44-1build3
2026-03-22 14:07:39 status half-installed libcap2:amd64 1:2.44-1build3
2026-03-22 14:07:39 status unpacked libcap2:amd64 1:2.44-1build3
2026-03-22 14:07:39 install libcom-err2:amd64 <none> 1.46.5-2ubuntu1
2026-03-22 14:07:39 status half-installed libcom-err2:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:39 status unpacked libcom-err2:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:39 install libcrypt1:amd64 <none> 1:4.4.27-1
2026-03-22 14:07:39 status half-installed libcrypt1:amd64 1:4.4.27-1
2026-03-22 14:07:39 status unpacked libcrypt1:amd64 1:4.4.27-1
2026-03-22 14:07:39 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8ubuntu3
2026-03-22 14:07:39 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2026-03-22 14:07:39 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2026-03-22 14:07:39 install libdebconfclient0:amd64 <none> 0.261ubuntu1
2026-03-22 14:07:39 status half-installed libdebconfclient0:amd64 0.261ubuntu1
2026-03-22 14:07:39 status unpacked libdebconfclient0:amd64 0.261ubuntu1
2026-03-22 14:07:39 install libext2fs2:amd64 <none> 1.46.5-2ubuntu1
2026-03-22 14:07:39 status half-installed libext2fs2:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:39 status unpacked libext2fs2:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:39 install libgcc-s1:amd64 <none> 12-20220319-1ubuntu1
2026-03-22 14:07:39 status half-installed libgcc-s1:amd64 12-20220319-1ubuntu1
2026-03-22 14:07:39 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2026-03-22 14:07:39 install libgcrypt20:amd64 <none> 1.9.4-3ubuntu3
2026-03-22 14:07:39 status half-installed libgcrypt20:amd64 1.9.4-3ubuntu3
2026-03-22 14:07:39 status unpacked libgcrypt20:amd64 1.9.4-3ubuntu3
2026-03-22 14:07:39 install libgmp10:amd64 <none> 2:6.2.1+dfsg-3ubuntu1
2026-03-22 14:07:39 status half-installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2026-03-22 14:07:39 status unpacked libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2026-03-22 14:07:39 install libgpg-error0:amd64 <none> 1.43-3
2026-03-22 14:07:39 status half-installed libgpg-error0:amd64 1.43-3
2026-03-22 14:07:39 status unpacked libgpg-error0:amd64 1.43-3
2026-03-22 14:07:39 install libgssapi-krb5-2:amd64 <none> 1.19.2-2
2026-03-22 14:07:39 status half-installed libgssapi-krb5-2:amd64 1.19.2-2
2026-03-22 14:07:39 status unpacked libgssapi-krb5-2:amd64 1.19.2-2
2026-03-22 14:07:39 install libk5crypto3:amd64 <none> 1.19.2-2
2026-03-22 14:07:39 status half-installed libk5crypto3:amd64 1.19.2-2
2026-03-22 14:07:39 status unpacked libk5crypto3:amd64 1.19.2-2
2026-03-22 14:07:39 install libkeyutils1:amd64 <none> 1.6.1-2ubuntu3
2026-03-22 14:07:39 status half-installed libkeyutils1:amd64 1.6.1-2ubuntu3
2026-03-22 14:07:39 status unpacked libkeyutils1:amd64 1.6.1-2ubuntu3
2026-03-22 14:07:39 install libkrb5-3:amd64 <none> 1.19.2-2
2026-03-22 14:07:39 status half-installed libkrb5-3:amd64 1.19.2-2
2026-03-22 14:07:39 status unpacked libkrb5-3:amd64 1.19.2-2
2026-03-22 14:07:39 install libkrb5support0:amd64 <none> 1.19.2-2
2026-03-22 14:07:39 status half-installed libkrb5support0:amd64 1.19.2-2
2026-03-22 14:07:39 status unpacked libkrb5support0:amd64 1.19.2-2
2026-03-22 14:07:39 install liblz4-1:amd64 <none> 1.9.3-2build2
2026-03-22 14:07:39 status half-installed liblz4-1:amd64 1.9.3-2build2
2026-03-22 14:07:39 status unpacked liblz4-1:amd64 1.9.3-2build2
2026-03-22 14:07:39 install liblzma5:amd64 <none> 5.2.5-2ubuntu1
2026-03-22 14:07:39 status half-installed liblzma5:amd64 5.2.5-2ubuntu1
2026-03-22 14:07:39 status unpacked liblzma5:amd64 5.2.5-2ubuntu1
2026-03-22 14:07:39 install libmount1:amd64 <none> 2.37.2-4ubuntu3
2026-03-22 14:07:39 status half-installed libmount1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:39 status unpacked libmount1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:39 install libncurses6:amd64 <none> 6.3-2
